Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.HipExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.KneeFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.AnklePlantarFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightLeg.SubTalarEversion
  1.600000000000000e+00,  5.029721666047672e-01,  8.888722053922749e-02,  1.764302663170267e-01,  2.109306678686416e-01, -2.828734805239017e-02,  1.716455493614065e-01
  1.610000000000000e+00,  5.036942870246275e-01,  7.979780911733458e-02,  1.675133981606497e-01,  2.272878391318257e-01, -1.425779769820870e-02,  2.031685932702253e-01
  1.620000000000000e+00,  5.045188617372794e-01,  6.942003573319377e-02,  1.573736998137032e-01,  2.459053882959577e-01,  1.046212032140400e-03,  2.348186159028680e-01
  1.630000000000000e+00,  5.050250035710236e-01,  5.796021059067669e-02,  1.462830679426108e-01,  2.658472313206992e-01,  1.653738866776586e-02,  2.649647983292615e-01
  1.640000000000000e+00,  5.047555848410198e-01,  4.567098892221422e-02,  1.345362907439283e-01,  2.862488775333104e-01,  3.104116887732120e-02,  2.925367847211564e-01
  1.650000000000000e+00,  5.032691403366414e-01,  3.283760812381042e-02,  1.224761987382751e-01,  3.062973893884836e-01,  4.351102580250659e-02,  3.170605690983571e-01
  1.660000000000000e+00,  5.001996198093532e-01,  1.976506775585007e-02,  1.104863977331950e-01,  3.252526944302013e-01,  5.316037371514385e-02,  3.385087674722381e-01
  1.670000000000000e+00,  4.953031848054910e-01,  6.761990341576096e-03,  9.897731390189572e-02,  3.424998557051850e-01,  5.951268541667793e-02,  3.570335791998462e-01
  1.680000000000000e+00,  4.884729120979936e-01, -5.883284874647066e-03,  8.836176343585783e-02,  3.575836606201190e-01,  6.238463243948356e-02,  3.727418057662307e-01
  1.690000000000000e+00,  4.797175918559468e-01, -1.792756005638818e-02,  7.902231732404258e-02,  3.702039452994763e-01,  6.183369180525724e-02,  3.856177426188137e-01
  1.700000000000000e+00,  4.691170076434438e-01, -2.918761843229389e-02,  7.127549328025383e-02,  3.801876826355728e-01,  5.810231287993415e-02,  3.955700924079756e-01
  1.710000000000000e+00,  4.567770449774434e-01, -3.954098381555471e-02,  6.533622187904188e-02,  3.874627603802531e-01,  5.156348840733903e-02,  4.024990666589921e-01
  1.720000000000000e+00,  4.427863940259927e-01, -4.892658120906557e-02,  6.128502557860745e-02,  3.920274095314541e-01,  4.268514970426070e-02,  4.063489814393127e-01
  1.730000000000000e+00,  4.272260340963120e-01, -5.731775312931253e-02,  5.906996956279541e-02,  3.939506468540993e-01,  3.196008936879460e-02,  4.070788899389982e-01
  1.740000000000000e+00,  4.101724902684181e-01, -6.471341174262601e-02,  5.851451476816642e-02,  3.933508817473248e-01,  1.989281990999829e-02,  4.047059467951888e-01
  1.750000000000000e+00,  3.917242692013956e-01, -7.112518602591966e-02,  5.934546862127655e-02,  3.903906438954155e-01,  6.977924959857751e-03,  3.993323582080611e-01
  1.760000000000000e+00,  3.720219440895813e-01, -7.657535367070345e-02,  6.122545940228599e-02,  3.852718066655877e-01, -6.318302960546214e-03,  3.911671635749834e-01
  1.770000000000000e+00,  3.512477221130748e-01, -8.110016659343477e-02,  6.378550008709914e-02,  3.782291332367513e-01, -1.958129663659834e-02,  3.805249418285659e-01
  1.780000000000000e+00,  3.296462946682401e-01, -8.474380015419047e-02,  6.666415431637815e-02,  3.695320524343516e-01, -3.247777669677711e-02,  3.678008707974216e-01
  1.790000000000000e+00,  3.074615104185446e-01, -8.756741589217043e-02,  6.952295851006415e-02,  3.594568309729347e-01, -4.476079828080596e-02,  3.534380677119432e-01
  1.800000000000000e+00,  2.849366527424095e-01, -8.963850338321677e-02,  7.207669815786610e-02,  3.482781249322152e-01, -5.627828025295546e-02,  3.378827615613177e-01
  1.810000000000000e+00,  2.622820245455219e-01, -9.102917634225949e-02,  7.410690544230221e-02,  3.362470567290164e-01, -6.696045153979449e-02,  3.215605195099909e-01
  1.820000000000000e+00,  2.396581821993505e-01, -9.181375330305364e-02,  7.546172405702657e-02,  3.235797959131992e-01, -7.680202248143646e-02,  3.048675727964802e-01
  1.830000000000000e+00,  2.171743091458902e-01, -9.206628506697290e-02,  7.604424447531687e-02,  3.104600037189212e-01, -8.584537641211781e-02,  2.881638807700423e-01
  1.840000000000000e+00,  1.948968806445719e-01, -9.185824146939980e-02,  7.579756515344924e-02,  2.970443314206040e-01, -9.416561000065023e-02,  2.717641242239637e-01
  1.850000000000000e+00,  1.728595391041963e-01, -9.125512006025849e-02,  7.469225713277422e-02,  2.834644053515957e-01, -1.018577665435685e-01,  2.559323543993751e-01
  1.860000000000000e+00,  1.510713269453388e-01, -9.031003403144644e-02,  7.272272595649751e-02,  2.698326241183108e-01, -1.090303878818802e-01,  2.408798907997628e-01
  1.870000000000000e+00,  1.295342701215769e-01, -8.905987949185357e-02,  6.991547287039034e-02,  2.562515770248202e-01, -1.158026155525881e-01,  2.267689488553421e-01
  1.880000000000000e+00,  1.082173544744285e-01, -8.751806489009817e-02,  6.632661184173599e-02,  2.428128065475669e-01, -1.222994038931029e-01,  2.137007184753477e-01
  1.890000000000000e+00,  8.713206812163496e-02, -8.569159260743575e-02,  6.205615382199094e-02,  2.296095454679816e-01, -1.286407185727539e-01,  2.017439537703271e-01
  1.900000000000000e+00,  6.630742463961148e-02, -8.358202906417600e-02,  5.722979219835148e-02,  2.167408997745527e-01, -1.349331189391488e-01,  1.909231458982263e-01
  1.910000000000000e+00,  4.580390668210119e-02, -8.119645452740554e-02,  5.198724849090301e-02,  2.043195695321179e-01, -1.412622444529827e-01,  1.812299880847276e-01
  1.920000000000000e+00,  2.570875777891889e-02, -7.855745879334797e-02,  4.646751702317936e-02,  1.924693305126160e-01, -1.476904478017109e-01,  1.726359324524661e-01
  1.930000000000000e+00,  6.126407937343157e-03, -7.571114164358583e-02,  4.079577393455137e-02,  1.813163829719247e-01, -1.542592694958454e-01,  1.651029699573146e-01
  1.940000000000000e+00, -1.283281046040132e-02, -7.272907927393213e-02,  3.507217583911638e-02,  1.709797258189408e-01, -1.609942232709373e-01,  1.585866934828503e-01
  1.950000000000000e+00, -3.106449333633354e-02, -6.970266295179539e-02,  2.936642805067138e-02,  1.615632066846859e-01, -1.679121110721184e-01,  1.530288346477256e-01
  1.960000000000000e+00, -4.848313084235622e-02, -6.673223627895131e-02,  2.372175789388913e-02,  1.531483156193231e-01, -1.750279767589131e-01,  1.483429558750415e-01
  1.970000000000000e+00, -6.503510074284348e-02, -6.391623964270576e-02,  1.816322261406803e-02,  1.457852352845425e-01, -1.823531384072585e-01,  1.444067841103581e-01
  1.980000000000000e+00, -8.070719755599004e-02, -6.134415968106688e-02,  1.270632149054190e-02,  1.394844806439522e-01, -1.898848263206791e-01,  1.410641133209369e-01
  1.990000000000000e+00, -9.552814057721441e-02, -5.909293527041681e-02,  7.368986898338166e-03,  1.342154710205757e-01, -1.975966144060482e-01,  1.381239286454024e-01
  2.000000000000000e+00, -1.095663151712832e-01, -5.722437509863121e-02,  2.182563084663990e-03,  1.299139634275044e-01, -2.054324686221688e-01,  1.353551581737164e-01
  2.010000000000000e+00, -1.229260486400425e-01, -5.578238650428613e-02, -2.808260158085558e-03,  1.264965121146397e-01, -2.133055230563637e-01,  1.324853195688234e-01
  2.020000000000000e+00, -1.357406953482821e-01, -5.479056809071570e-02, -7.554792856827907e-03,  1.238810003552993e-01, -2.211067459969590e-01,  1.292051295004110e-01
  2.030000000000000e+00, -1.481620021716734e-01, -5.425073777599021e-02, -1.201379102562220e-02,  1.220101298034619e-01, -2.287230079357170e-01,  1.251790408498067e-01
  2.040000000000000e+00, -1.603474691036192e-01, -5.414172750412760e-02, -1.615449806716238e-02,  1.208698994057412e-01, -2.360558806255889e-01,  1.200645937669849e-01
  2.050000000000000e+00, -1.724469423273721e-01, -5.441637142233624e-02, -1.996607916801414e-02,  1.204948708567711e-01, -2.430301197993499e-01,  1.135455995743810e-01
  2.060000000000000e+00, -1.845856805480237e-01, -5.499461502816327e-02, -2.346511877570174e-02,  1.209584255737771e-01, -2.495867299570255e-01,  1.053798188920470e-01
  2.070000000000000e+00, -1.968378219907403e-01, -5.575183559831998e-02, -2.669695020083541e-02,  1.223548259652022e-01, -2.556674602723193e-01,  9.544874716130576e-02
  2.080000000000000e+00, -2.091913879122685e-01, -5.650311798864083e-02, -2.972258536302029e-02,  1.247844687039981e-01, -2.612014725763693e-01,  8.378863242297881e-02
  2.090000000000000e+00, -2.215230948347671e-01, -5.698866179695328e-02, -3.259038284615809e-02,  1.283489745077222e-01, -2.660984610853380e-01,  7.058632905392202e-02
  2.100000000000000e+00, -2.335996749852927e-01, -5.688803978051582e-02, -3.532492605747303e-02,  1.331475558580539e-01, -2.702415878786074e-01,  5.616703867270088e-02
  2.110000000000000e+00, -2.451293489076981e-01, -5.584835739494909e-02, -3.792304467261134e-02,  1.392709851191731e-01, -2.734825545783712e-01,  4.094327535361254e-02
  2.120000000000000e+00, -2.558245683678032e-01, -5.354757451027670e-02, -4.039243208451825e-02,  1.467883942153591e-01, -2.756302706603705e-01,  2.539582506914274e-02
  2.130000000000000e+00, -2.654546461397798e-01, -4.974076049480769e-02, -4.277393782966897e-02,  1.557440203219373e-01, -2.764476277653752e-01,  1.003683036862988e-02
  2.140000000000000e+00, -2.738614842803014e-01, -4.428459368553139e-02, -4.514324129158839e-02,  1.661657528831303e-01, -2.756578566000790e-01, -4.625084229441001e-03
  2.150000000000000e+00, -2.809437900002662e-01, -3.714378018472275e-02, -4.759694050539782e-02,  1.780837199286877e-01, -2.729567187872343e-01, -1.810982424034025e-02
  2.160000000000000e+00, -2.866301521149451e-01, -2.838849558667711e-02, -5.023781430699976e-02,  1.915542598320186e-01, -2.680233864574577e-01, -2.997490157582964e-02
  2.170000000000000e+00, -2.908563817644833e-01, -1.818688751045694e-02, -5.316835183071836e-02,  2.066825222305830e-01, -2.605278285648896e-01, -3.981314410202594e-02
  2.180000000000000e+00, -2.935486764256044e-01, -6.795992280470564e-03, -5.649119483838316e-02,  2.236383781279202e-01, -2.501374589163653e-01, -4.724805637091285e-02
  2.190000000000000e+00, -2.946258281110303e-01,  5.459727055315167e-03, -6.030202510670251e-02,  2.426626328697980e-01, -2.365267479570764e-01, -5.195433079427562e-02
  2.200000000000000e+00, -2.939848059517272e-01,  1.819376146100682e-02, -6.467838603831710e-02,  2.640659069422249e-01, -2.193950667859806e-01, -5.367598757958450e-02
  2.210000000000000e+00, -2.915078061089753e-01,  3.098673192749635e-02, -6.965281513202747e-02,  2.882133319610868e-01, -1.984919191997269e-01, -5.228377755907105e-02
  2.220000000000000e+00, -2.870512795785420e-01,  4.341498040199743e-02, -7.518946776733973e-02,  3.154971212050618e-01, -1.736512081598692e-01, -4.781809901223398e-02
  2.230000000000000e+00, -2.804324728418289e-01,  5.509190149180077e-02, -8.116206719705225e-02,  3.462995184702605e-01, -1.448361312510739e-01, -4.051226084864037e-02
  2.240000000000000e+00, -2.714277919478079e-01,  6.571290179962919e-02, -8.734286180119095e-02,  3.809471784191290e-01, -1.121952112061246e-01, -3.077700081022440e-02
  2.250000000000000e+00, -2.597978433898390e-01,  7.508913562359765e-02, -9.342090471127672e-02,  4.196557792578733e-01, -7.612624641219752e-02, -1.913804459698028e-02
  2.260000000000000e+00, -2.453378603251545e-01,  8.315839454758911e-02, -9.905629751753588e-02,  4.624718588416553e-01, -3.734006128612727e-02, -6.139255412990456e-03
  2.270000000000000e+00, -2.279378427147895e-01,  8.996945045000171e-02, -1.039510877661042e-01,  5.092281642046383e-01,  3.094458969047920e-03,  7.755287246037085e-03
  2.280000000000000e+00, -2.076301091115131e-01,  9.564221705240317e-02, -1.079043219282709e-01,  5.595297419864319e-01,  4.375564557771768e-02,  2.222451414773863e-02
  2.290000000000000e+00, -1.846034316573272e-01,  1.003149208657816e-01, -1.108284415094914e-01,  6.127793630265359e-01,  8.295369560013756e-02,  3.709732440416291e-02
  2.300000000000000e+00, -1.591766382582355e-01,  1.040973548302058e-01, -1.127295363901578e-01,  6.682339552367392e-01,  1.188913792130693e-01,  5.230682345217229e-02
  2.310000000000000e+00, -1.317457235746338e-01,  1.070457228526145e-01, -1.136722897430917e-01,  7.250698273008193e-01,  1.498569195559671e-01,  6.781956490794186e-02
  2.320000000000000e+00, -1.027299610451884e-01,  1.091619758379598e-01, -1.137464719818363e-01,  7.824365925814090e-01,  1.744032340714780e-01,  8.357522169227884e-02
  2.330000000000000e+00, -7.253483541049990e-02,  1.104107697796173e-01, -1.130399117537726e-01,  8.394921060708320e-01,  1.915033608554252e-01,  9.946253415314764e-02
  2.340000000000000e+00, -4.153355591511669e-02,  1.107464879601809e-01, -1.116201494281942e-01,  8.954210318865733e-01,  2.006806405286616e-01,  1.153348833764902e-01
  2.350000000000000e+00, -1.005894845815928e-02,  1.101438464549731e-01, -1.095289534010846e-01,  9.494460762521113e-01,  2.020776014571445e-01,  1.310403403968125e-01
  2.360000000000000e+00,  2.160188711457030e-02,  1.086225343556657e-01, -1.067903831105590e-01,  1.000841545323103e+00,  1.964158207025829e-01,  1.464283012436972e-01
  2.370000000000000e+00,  5.321129329715379e-02,  1.062572184676778e-01, -1.034257292351034e-01,  1.048952659356299e+00,  1.848428683967656e-01,  1.613187456646444e-01
  2.380000000000000e+00,  8.458124876348813e-02,  1.031720756892351e-01, -9.946543261538601e-02,  1.093217282195749e+00,  1.687174195959492e-01,  1.754614134416127e-01
  2.390000000000000e+00,  1.155680284052236e-01,  9.952539825169526e-02, -9.495311193970175e-02,  1.133182622201614e+00,  1.494040630932617e-01,  1.885248740698984e-01
  2.400000000000000e+00,  1.460595085528769e-01,  9.549025863544669e-02, -8.994434591265407e-02,  1.168509897692514e+00,  1.281292425812470e-01,  2.001317993153892e-01
  2.410000000000000e+00,  1.759522667856435e-01,  9.123248741892032e-02, -8.450232992219998e-02,  1.198963323185918e+00,  1.059167251811001e-01,  2.099439225246815e-01
  2.420000000000000e+00,  2.051682566248088e-01,  8.690362353135073e-02, -7.869676769886411e-02,  1.224408584666624e+00,  8.354980476364726e-02,  2.176726060249654e-01
  2.430000000000000e+00,  2.336077571926651e-01,  8.262078823257824e-02, -7.259002099315640e-02,  1.244778630179775e+00,  6.162271983248255e-02,  2.232327281442238e-01
  2.440000000000000e+00,  2.611750383664703e-01,  7.847579806247706e-02, -6.623537118575339e-02,  1.260072657227529e+00,  4.055144245583956e-02,  2.267223846032917e-01
  2.450000000000000e+00,  2.877719181210120e-01,  7.453893620168661e-02, -5.967513944722640e-02,  1.270341531366136e+00,  2.060985998301712e-02,  2.284407299132201e-01
  2.460000000000000e+00,  3.132995129295842e-01,  7.086224748030356e-02, -5.294395198868922e-02,  1.275676335039180e+00,  1.962322472518009e-03,  2.288656839614067e-01
  2.470000000000000e+00,  3.376593149960972e-01,  6.747933162171971e-02, -4.607502864807420e-02,  1.276196463835777e+00, -1.529896343148191e-02,  2.286118191820032e-01
